id,name,sponsor,event,venue,place,physical_description,occasion,notes,call_number,keywords,language,date,location,location_type,currency,currency_symbol,status,page_count,dish_count
12851,,EWING'S NEW RESTAURANT,DAILY MENU,COMMERCIAL,"13 MONTGOMERY STREET (JERSEY CITY, NJ?)",FOLDER; 6 X 9;,,MENU HAS SPACE FOR HANDWRITTEN PRICES BUT PRICES ARE NOT NOTED; ROOMS AVAILABLE; COMMUTATION TICKETS AVAILABLE; OPEN ALL NIGHT;,1900-2434,,,3/14/1900,Ewing's New Restaurant,,Dollars,$,complete,4,275
12852,,HOTEL MONTGOMERY,DAILY MENU,COMMERCIAL,"90 MONTGOMERY STREET, JERSEY CITY, NJ",FOLDER; 6 X 9.25;,,PRICED MENU; PRICED WINE LIST; HANDWRITTEN INSERT; ROOMS FOR GENTLEMEN ONLY;,1900-2435,,,3/14/1900,Hotel Montgomery,,Dollars,$,complete,4,202
12853,,NEW YORK ATHLETIC CLUB,DAILY MENU,OTHER (PRIVATE CLUB);,NEW YORK,CARD; 6.75 X 11;,,PRICED MENU; LOGO;,1900-2436,,,3/14/1900,New York Athletic Club,,Dollars,$,complete,2,164
12854,,UNION LEAGUE CLUB,DAILY MENU,OTHER (PRIVATE CLUB),(NEW YORK?),CARD; 6.25 X 9.25;,,PRICED MENU;,1900-2437,,,3/14/1900,Union League Club,,Dollars,$,complete,2,106
12855,,BROADWAY CENTRAL HOTEL,LUNCHEON,COMMERCIAL,"BROADWAY, NY",CARD; 5.5 X 8.25;,,LOGO;,1900-2439,,,3/14/1900,Broadway Central Hotel,,,,complete,2,53
12856,,BROADWAY CENTRAL HOTEL,DINNER,COMMERCIAL,"BROADWAY, NY",FOLDER; ILLUS; 5.5 X 8.75;,,DRAWING OF HOTEL ON COVER; MAP OF NEW YORK CITY AND TOURIST INFORMATION;,1900-2440,,,3/14/1900,Broadway Central Hotel,,,,complete,4,63
12857,,PENNSYLVANIA R.R. STATION,BREAKFAST,COMMERCIAL,"JERSEY CITY, NJ",CARD; 3.75 X 8.25;,,PRICED MENU;,1900-2441,,,3/14/1900,Pennsylvania R.R. Station,,Cents,c,complete,2,23
12858,,HOTEL WASHINGTON,DAILY MENU,COMMERCIAL,"JERSEY CITY, NY",FOLDER; 7 X 11;,,PRICED MENU; PRICED WINE LIST; HANDWRITTEN INSERT,1900-2445,,,3/14/1900,Hotel Washington,,Dollars,$,complete,4,253
12859,,NEW YORK ATHLETIC CLUB,CLUB DINNER,OTHER (PRIVATE CLUB);,NEW YORK,CARD; 4.5 X 7.5;,,UNPRICED MENU; LOGO;,1900-2447,,,3/14/1900,New York Athletic Club,,Dollars,$,complete,2,25
12860,,WESTMINSTER HOTEL,LUNCHEON,COMMERCIAL,NEW YORK,CARD; 4 X 5.5;,,NOTE ABOUT PURITY OF WATER;,1900-2454,,,3/14/1900,Westminster Hotel,,,,complete,2,40
12861,,COLONIAL CLUB OF NEW YORK,DAILY MENU,OTHER (SOC);,NEW YORK,CARD; 6.25 X 9.25;,,PRICED MENU;,1900-2455,,,3/14/1900,Colonial Club Of New York,,Dollars,$,complete,2,108
12862,,CALUMET CLUB OF NEW YORK,DAILY MENU,OTHER (SOC);,NEW YORK,CARD; 6.25 X 10;,,PRICED MENU;,1900-2456,,,3/14/1900,Calumet Club Of New York,,Dollars,$,complete,2,105
12863,,SHERMAN SQUARE HOTEL,DINNER,COMMERCIAL,NEW YORK,BROADSIDE; HOTEL EMBLEM; 5.25 X 7.5;,,,1900-2459,,,3/14/1900,Sherman Square Hotel,,,,complete,2,32
12864,,SAVOY HOTEL,TABLE d'HOTE DINNER,COMMERCIAL,59 ST. & 5TH AVE. NY,BROADSIDE; ILLUS; COL; 5.5 X 7.5;,,,1900-2460,,,3/14/1900,Savoy Hotel,,,,complete,2,34
12865,,PARK AVE. HOTEL,"LUNCHEON,BILL OF FARE",COMMERCIAL,NY,BROADSIDE; HOTEL EMBLEM; COL; 4.5 X 7;,DAILY,HOURS LISTED FOR FULL LUNCH;,1900-2461,,,3/14/1900,Park Ave. Hotel,,,,complete,2,47
12866,,CUNARD LINE,[DINNER],COMMERCIAL,R.M.S. LUCANIA,CARD; 4.25X6.5;,,BEVELED EDGES GOLD TIPPED; RED FLAG WITH LION WEARING CROWN AND HOLDING GLOBE; PRICED WINE LIST;,1900-2693,,,4/7/1900,Cunard Line,,Dollars,$,complete,2,94
12867,,HOTEL SAVOY,LUNCHEON TABLE D'HOTE,COMMERCIAL,"FIFTH AVENUE & FIFTY-NINTH STREET, NEW YORK, [NY]",CARD; 6.25X9.25,,PRINTED IN GREEN; HOTEL LOGO IN GREEN;,1900-2694,,,4/7/1900,Hotel Savoy,,,,complete,2,54
12868,,HOTEL SAVOY,LUNCHEON A LA CARTE,COMMERCIAL,"FIFTH AVENUE & FIFTY-NINTH STREET, NEW YORK, [NY]",CARD; 6.25X9.25,,PRINTED IN GREEN; HOTEL LOGO IN GREEN;,1900-2695,,,4/7/1900,Hotel Savoy,,Dollars,$,complete,2,122
12869,,HOTEL SAVOY,DINNER TABLE D'HOTE,COMMERCIAL,"FIFTH AVENUE & FIFTY-NINTH STREET, NEW YORK, [NY]",CARD; 6.25X9.25,,PRINTED IN GREEN; HOTEL LOGO IN GREEN;,1900-2696,,,4/7/1900,Hotel Savoy,,Dollars,$,complete,2,58
12870,,HOTEL SAVOY,CAFE DINNER TABLE D'HOTE,COMMERCIAL,"FIFTH AVENUE & FIFTY-NINTH STREET, NEW YORK, [NY]",CARD; 5.5X7.25;,,PRINTED IN GREEN; HOTEL LOGO IN GREEN;,1900-2697,,,4/7/1900,Hotel Savoy,,Dollars,$,complete,2,34
12871,,NEW YORK ATHLETIC CLUB,CARTE DU JOUR,SOC;,"[NEW YORK, NY]",CARD; 6.75X11.0;,,"CLUB LOGO ""THE WINGED FOOT"" IN RED;",1900-2698,,,4/7/1900,New York Athletic Club,,Dollars,$,complete,2,170
12872,,(MANHATTAN CLUB),DINNER,SOC;,,FOLDER; 6.0X9.5;,,"MONOGRAM ""MC"" ON COVER; MANHATTAN CLUB HAND WITTEN INSIDE;",1900-2700,,,4/7/1900,Manhattan Club,,Dollars,$,complete,4,137
12874,,COLONIAL CLUB OF NEW YORK,CARTE DU JOUR,SOC;,"NEW YORK, [NY]",CARD; 6.25X9.5;,,,1900-2702,,,4/7/1900,Colonial Club Of New York,,Dollars,$,complete,2,118
12875,,PARK AVENUE HOTEL,TABLE D'HOTE DINNER,COMMERCIAL,"NEW YORK, [NY]",CARD; 4.25X7.0;,,FROM 12:00 TO 2:30 AND FROM 5:30 TO 8:00 PM; HOTEL LOGO IN PINK;,1900-2705,,,4/7/1900,Park Avenue Hotel,,Dollars,$,complete,2,17
12879,,HAMBLEN'S RESTAURANT & LUNCH ROOMS,MENU,COMMERCIAL,"NEW YORK, NY",FOLDER; ILLUS; 6X9.5;,,PRICED MENU; DECORATIVE BORDER; [DATE SUPPLIED BY FEB]; SPECIAL ITEMS WRITTEN IN LAVENDAR INK & THEN PRINTED; SUPPLIER'S ADS ON BACK PAGE;,1900-2720,,,4/7/1900,Hamblen's Restaurant & Lunch Rooms,,Dollars,$,complete,4,199
12880,,(MANHATTAN CLUB),MENU,[SOC?];,"[NEW YORK, NY?]",FOLDER; 6X9.5;,,"MONOGRAM ""MC"" ON COVER; INSIDE MENU ""MANHATTANCLUB"" IS HANDWRITTEN; PRICED MENU;",1900-2733,,,4/8/1900,Manhattan Club,,Dollars,$,complete,4,278
12881,,MASTER PRINTERS' ASSOCIATION,MENU,PROF;,NARRAGANSETT HOTEL,CARD; 4.25X6.5;,,MANHATTAN COCKTAILS SERVED WITH LITTLE NECK CLAMS; WINE & CHAMPAGNE SERVED WITH INDIVIDUAL COURSES;,1900-2734,,,4/8/1900,Master Printers' Association,,,,complete,2,29
12882,,CLAREMONT HOTEL,MENU,COMMERCIAL,,CARD; ILLUS; 6X11;,,"PRICED MENU & PRICED WINE LISTS; PRICES APPEAR TO BE ESCALATING, UNLESS THIS IS A VERY ELEGANT HOTEL; ILLUSTRATION OF FISH AT TOP OF MENU; [DATE INFO HANDWRITTEN]; ""CLAREMONT PLANKED SHAD CAUGHT IN OUR OWN NETS AND BROUGHT INTO THE HOUSE ALIVE;""",1900-2740,,,4/9/1900,Claremont Hotel,,Dollars,$,complete,2,226
12884,,HASKIN'S RESTAURANT,DINNER,COMMERCIAL,"117 WEST 34TH STREET,[NEW YORK,NY]",CARD;5X7.25;,DAILY;,25CENT DINNER MENU;HANDWRITTEN DATE BY MS BUTTOLPH INCORRECTLY WRITTEN AS 2/21;,1900-1196,,,2/21/1900,Haskin's Restaurant,,,,complete,2,15
12885,,HASKIN'S RESTAURANT,DAILY,COMMERCIAL,"117 WEST 34TH STREET,NEW YORK,NY",CARD;COL;5.5X9.5;,DAILY;,NO SMOKING;A LA CARTE MENU;,1900-1198,,,2/21/1900,Haskin's Restaurant,,Dollars,$,complete,2,87
12886,,HOTEL MARIE ANTOINETTE,LUNCHEON,COMMERCIAL,"66TH STREET AND BROADWAY,NEW YORK,NY",CARD;ILL;COL;4.5X7.5;,DAILY;,COAT OF ARMS IN UPPER LEFT;,1900-1199,,,2/21/1900,Hotel Marie Antoinette,,Dollars,$,complete,2,83
12887,,HOTEL MARIE ANTOINETTE,DINNER,COMMERCIAL,"66TH STREET AND BROADWAY,NEW YORK,NY",CARD;ILL;COL;6.5X9;,DAILY;,COAT OF ARMS IN UPPER LEFT;2 COPIES,1900-2000,,,2/21/1900,Hotel Marie Antoinette,,Dollars,$,complete,2,124
12892,,RED STAR LINE,LUNCH,COMMERCIAL,ENROUTE ABOARD S.S. SOUTHWARK,CARD; ILLUS; 5 X 8;,,GARLAND OF COOKS; FOOD; COOKING UTENSILS' HANDWRITTEN;,1900-2008,,,2/18/1900,Red Star Line,,,,complete,2,16
12895,,HOTEL MARIE ANTOINETTE,DINNER,COMMERCIAL,66TH STREET AND BR6ADWAY,CARD; 6.5 X 9.75;,,PRICED MENU;; CREST;,1900-2013,,,2/18/1900,Hotel Marie Antoinette,,Dollars,$,complete,2,123
12896,,HOTEL MARIE ANTOINETTE,LUNCHEON,COMMERCIAL,66TH STREET AND BR6ADWAY,CARD; 6.5 X 9.75;,,PRICED MENU; CREST;,1900-2015,,,2/18/1900,Hotel Marie Antoinette,,Dollars,$,complete,2,82
12898,,PUTNAM HOUSE,LUNCHEON,COMMERCIAL,NEW YORK CITY,CARD; 4.5 X 7.25;,,PRICED MENU; TABLE D'HOTE DINNER; NOTE ABOUT PURITY OF WATER;,1900-2019,,,2/18/1900,Putnam House,,Dollars,$,complete,2,29
12900,,OCEAN STEAMSHOP CO.,SUPPER,COMMERCIAL,S.S. NACOOCHEE,CARD; ILLUS; COL; 5.5 X 7;,,PINK; PICTURE OF WATERFOWL AND REAR;  NAME OF SHIP WRITTEN BY FEB;,1900-2021,,,2/1/1900,Ocean Steamshop Co.,,,,complete,2,19
12901,,SAN REMO HOTEL,LUNCHEON MENU,COMMERCIAL,"NEW YORK, NY",BROADSIDE; ILLUS; COL; 4X6.75;,,TABLE D'HOTE MENU; HOTEL SEAL AT TOP OF MENU,1900-1036,,,2/13/1900,San Remo Hotel,,,,complete,2,19
12902,,SHANLEY BROS. OYSTER HOUSES & GRILL ROOM,BREAKFAST,COMMERCIAL,"383 6TH AVE.,1212 BWAY.,& 1476 BWAY. NY",FOLDER; 6.25 X 9.25;,DAILY,COMPLETE WINE LIST ON BACK;,1900-1038,,,2/13/1900,Shanley Bros. Oyster Houses & Grill Room,,Dollars,$,complete,4,307
12903,,EMPIRE HOTEL,BREAKFAST,COMMERCIAL,BWAY & 63RD ST. NY,BROADSIDE; HOTEL SEAL; COL; 6.75 X 9.5;,DAILY,,1900-1040,,,2/13/1900,Empire Hotel,,Dollars,$,complete,2,172
12904,,EMPIRE HOTEL,LUNCHEON,COMMERCIAL,BWAY & 63RD ST. NY,BROADSHEET; HOTEL SEAL; COL; 5.5 X 7.75;,DAILY,WINE LIST ON BACK PAGE;,1900-1041,,,2/13/1900,Empire Hotel,,Dollars,$,complete,2,184
12905,,SAN REMO HOTEL,DINNER,COMMERCIAL,"75TH ST & CENTRAL PARK WEST, NY",FOLDER; 6.5 X 10.5;,DAILY,,1900-1042,,,2/13/1900,San Remo Hotel,,Dollars,$,complete,4,243
12906,,YOUNG'S HERALD SQUARE LUNCH ROOM,LUNCH & DINNER,COMMERCIAL,600 SIXTH AVE. NY,FOLDER; 6.5 X 9.5;,DAILY,AD FOR MUSIC HALL ON COVER; BREAKFAST MENU ON BACK ;,1900-1043,,,2/13/1900,Young's Herald Square Lunch Room,,Dollars,$,complete,4,242
12907,,MONTEREY HOTEL,A LA CARTE MENU,COMMERCIAL,38TH ST. & 6TH AVE. NY,FOLDER; 7 X 10;,DAILY,SOME ITEMS HANDWRITTEN;,1900-1044,,,2/13/1900,Monterey Hotel,,Dollars,$,complete,4,224
12908,,RED STAR LINE - SS WESTERNLAND,BREAKFAST,COMMERCIAL,EN ROUTE,BROADSIDE; ILLUS; COL; 5 X 8;,DAILY,ALL HANDWRITTEN;,1900-1049,,,2/13/1900,Red Star Line   Ss Westernland,,,,complete,2,16
12909,,RED STAR LINE,LUNCH,COMMERCIAL,EN ROUTE,BROADSIDE; ILLUS; COL; 5 X 8;,DAILY,ALL HANDWRITTEN;,1900-1050,,,2/13/1900,Red Star Line,,,,complete,2,22
12910,,RED STAR LINE - SS WESTERNLAND,DINNER,COMMERCIAL,EN ROUTE,BROADSHEET; ILLUS; COL; 5 X 8;,DAILY,ALL HANDWRITTEN; WINE LIST ON BACK; RATE OF EXCHANGE INCLUDED;,1900-1051,,,2/13/1900,Red Star Line   Ss Westernland,,,,complete,2,49
12911,,R.M.S. OCEANIC,[BREAKFAST],COMMERCIAL,EN ROUTE,BROADSIDE; GOLD TRIM; 3.5 X 5;,DAILY,,1900-1057,,,2/13/1900,R.M.S. Oceanic,,,,complete,2,25
12912,,PENNSYLVANIA RR,DINNER,COMMERCIAL,TOUR THROUGH MEXICO & CALIFORNIA,BROADSIDE; 5.25 X 7;,CONDUCTED TOUR,SEPARATE PAGE WITH WINE LIST INCLUDING PRICES;,1900-1059,,,2/14/1900,Pennsylvania Rr,,,,complete,4,61
12913,,MR. S.R.BLOOMFIELD,FAREWELL DINNER TO MR. WILLIAM CLARK,SOC;,GRAND HOTEL,FOLDER; ILLUS; COL; 3.5 X 4.75;,COMPLIMENTARY/TESTIMONIAL,MENU IN FRENCH;,1900-1060,,,2/14/1900,Mr. S.R.Bloomfield,,,,complete,4,10
12916,,WINDSOR HOTEL,DINNER,COMMERCIAL,"JACKSONVILLE, FLA.",BROADSIDE; ILLUS;4.25 X 7;,DAILY,,1900-1063,,,2/14/1900,Windsor Hotel,,Dollars,$,complete,2,43
12917,,CAFETERIA - LUNCH,ST. VALENTINES DAY DINNER,COMMERCIAL,57 BROAD ST. NY,FOLDER; ILLUS; 6 X 9.5;,SECULAR HOLIDAY. HOLIDAY,ALL SPECIAL ITEMS HANDWRITTEN;,1900-1064,,,2/14/1900,Cafeteria   Lunch,,Dollars,$,complete,4,114
12918,,USMS ST LOUIS,BREAKFAST,COMMERCIAL,USMS ST LOUIS,CARD;ILL;COL;4X6.25;,DAILY;,FLAG WITH BIRD IN BLUE UPPER LEFT;,1900-1069,,,2/14/1900,Usms St Louis,,,,complete,2,28
12919,,USMS ST LOUIS,DINNER,COMMERCIAL,USMS ST LOUIS,CARD;ILL;COL;4X6.25;,DAILY;,FLAG WITH BIRD IN BLUE UPPER LEFT;PRICED WINE LIST ON BACK;,1900-1071,,,2/14/1900,Usms St Louis,,Dollars,$,complete,2,86
12920,,USMS NEW YORK,LUNCHEON,COMMERCIAL,USMS NEW YORK,CARD;ILL;COL;4X6.25;,DAILY;,FLAG WITH BIRD IN BLUE UPPER LEFT;PRICED WINE LIST ON BACK;,1900-1073,,,2/14/1900,Usms New York,,Dollars,$,complete,2,105
12921,,CUNARD LINE,DINNER,COMMERCIAL,ABOARD R.M.S. ETRURIA,CARD; ILLUS; 4.25 X 6.5;,,BRITISH AND AMERICAN FLAGS; PRICED WINE LIST IN BRITISH CURRENCY;,1900-2022,,,2/22/1900,Cunard Line,,Shillings,s,complete,2,99
12922,,RED STAR LINE,LUNCH,COMMERCIAL,S.S. SOUTHWORK,BROADSIDE; ILLUS; COL; 5X8;,,HANDWRITTEN IN VIOLET INK; DECORATIVE VINES;,1900-2025,,,2/22/1900,Red Star Line,,,,complete,2,17
12923,,ALBEMARLE HOTEL,MENU,COMMERCIAL,"MADISON SQUARE, WEST, NEW YORK, NY",FOLDER; ILLUS; COL; 6X8.5;,,A LA CARTE PRICED MENU; HOTEL SEAL ON COVER;,1900-2026,,,2/22/1900,Albemarle Hotel,,Dollars,$,complete,4,259
12924,,RED STAR LINE,DINNER,COMMERCIAL,S.S. SOUTHWORK,BROADSHEET; ILLUS; COL; 5X8;,,FRENCH & ENGLISH; PRICED WINE LIST ON BACK OF MENU; MARITIME ILLUSTRATION AT TOP OF MENU;,1900-2028,,,2/22/1900,Red Star Line,,Dollars,$,complete,2,50
12925,,EBBITT HOUSE,MENU,COMMERCIAL,"WASHINGTON, D.C.",BROADSIDE; ILLUS; COL; 6.25X9.75;,,"CHERRY BLOSSOM ILLUSTRATION AT TOP OF MENU; FIRST MENTION OF ""DRIP"" COFFEE;",1900-2029,,,2/22/1900,Ebbitt House,,,,complete,2,40
12926,,RED STAR LINE,BREAKFAST,COMMERCIAL,S.S. SOUTHWORK,BROADSIDE; ILLUS; COL; 5X8;,,HANDWRITTEN IN VIOLET INK; MARITIME SCENE AT TOP OF MENU;,1900-2030,,,2/22/1900,Red Star Line,,,,complete,2,15
12927,,MANHATTAN HOTEL,LUNCHEON CARTE DU JOUR,COMMERCIAL,"NEW YORK, NY",BROADSIDE; ILLUS; 6X9.5;,,A LA CARTE PRICED MENU; HOTEL SEAL AT TOP OF MENU;,1900-2032,,,2/22/1900,Manhattan Hotel,,Dollars,$,complete,2,128
12931,,ROANOKE HOTEL,MENU,COMMERCIAL,"ROANOKE, VA",BROADSIDE; ILLUS; COL; 5.5X8.5;,,ILLUSTRATION OF HOTEL AT TOP OF MENU;,1900-2038,,,2/22/1900,Roanoke Hotel,,,,complete,2,29
12933,,COLONIAL HOTEL,WASHINGTON'S BUFFET,COMMERCIAL,"[NASSAU, N.P.]",CARD; 4X5.5;,PATRIOTIC HOLIDAY;,[PLACE INFO SUPPLIED BY FB];,1900-2042,,,2/22/1900,Colonial Hotel,,,,complete,2,11
12937,,RIGGS HOUSE,DINNER,COMMERCIAL,"WASHINGTON,D.C.",BROADSIDE; 5.5 X 7;,DAILY,,1900-3009,,,4/27/1900,Riggs House,,,,complete,2,53
12938,,GRIDIRON NATIONAL CONVENTION,DINNER,PROF;,"WASHINGTON, D.C.",CARD; ILLUS; COL; 3 X 9.5;,,MENU PRINTED TO RESEMBLE A TICKET; WINES INCLUDED;,1900-3013,,,4/28/1900,Gridiron National Convention,,,,complete,2,22
12940,,BROOKLYN CLUB,35TH ANNIVERSARY DINNER,SOC;,"BROOKLYN, NY",BROADSIDE; 4.5 X 7;,ANNIVERSARYERSARY,MENU IN FRENCH; WINES INCLUDED;,1900-3021,,,4/28/1900,Brooklyn Club,,,,complete,2,28
12941,,UNIVERSITY CLUB,DINNER FOR THE ADMIRAL OF THE NAVY,SOC;,"(CHICAGO,IL)",FOLDER;ILL;4.5X5.75;,COMPLIMENTARY/TESTIMONIAL,PORTRAIT ON FRONT COVER;RIBBON FASTENING AT LEFT;WINES;EMBLEM ON BACK COVER;,1900-3044,,,5/1/1900,University Club,,Dollars,$,complete,2,97
12942,,,,,,,,,,,,5/1/1900,University Club,,Dollars,$,complete,2,102
12943,,BALTIMORE AND OHIO RR ROYAL BLUE LINE,CAFE SERVICE MEALS,COMMERCIAL,CAR ASTORIA,CARD;ILL;COL;4.5X6.5;,DAILY;,CAPITOL DOME;DATE HANDWRITTEN BY FB;WINE LIST;,1900-3045,,,5/1/1900,Baltimore And Ohio Rr Royal Blue Line,,Dollars,$,complete,2,95
12944,,BALTIMORE AND OHIO RR ROYAL BLUE LINE,CAFE SERVICE MEALS,COMMERCIAL,CAR SAVOY,CARD;ILL;COL;4.5X6.5;,DAILY;,CAPITOL DOME;DATE HANDWRITTEN BY FB;WINE LIST;,1900-3046,,,5/1/1900,Baltimore And Ohio Rr Royal Blue Line,,Dollars,$,complete,2,90
12945,,BALTIMORE AND OHIO RR ROYAL BLUE LINE,DINING CAR SERVICE MEALS,COMMERCIAL,CAR SAVOY,CARD;ILL;COL;4.5X6.5;,DAILY;,CAPITOL DOME;,1900-3047,,,5/1/1900,Baltimore And Ohio Rr Royal Blue Line,,Dollars,$,complete,2,28
12946,,BALTIMORE AND OHIO RR ROYAL BLUE LINE,DINING CAR SERVICE MEALS,COMMERCIAL,CAR APPIUS,CARD;ILL;COL;4.5X6.5;,DAILY;,CAPITOL DOME;,1900-3048,,,5/1/1900,Baltimore And Ohio Rr Royal Blue Line,,Dollars,$,complete,2,28
12947,,BALTIMORE AND OHIO RR ROYAL BLUE LINE,DINING CAR SERVICE MEALS,COMMERCIAL,CAR ASTORIA,CARD;ILL;COL;4.5X6.5;,DAILY;,CAPITOL DOME;,1900-3049,,,5/1/1900,Baltimore And Ohio Rr Royal Blue Line,,Dollars,$,complete,2,24
12948,,BALTIMORE AND OHIO RR ROYAL BLUE LINE,DINING CAR SERVICE MEALS,COMMERCIAL,CAR MANHATTAN,CARD;ILL;COL;4.5X6.5;,DAILY;,CAPITOL DOME;,1900-3050,,,5/1/1900,Baltimore And Ohio Rr Royal Blue Line,,,,complete,2,26
12949,,BALTIMORE AND OHIO RR ROYAL BLUE LINE,DINING CAR SERVICE MEALS,COMMERCIAL,CAR LIVIUS,CARD;ILL;COL;4.5X6.5;,DAILY;,CAPITOL DOME;,1900-3051,,,5/1/1900,Baltimore And Ohio Rr Royal Blue Line,,Dollars,$,complete,2,27
12950,,BALTIMORE AND OHIO RR ROYAL BLUE LINE,BREAKFAST,COMMERCIAL,CAR LIVIUS,CARD;5.75X6.5;,DAILY;,DATE HANDWRITTEN BY FB;,1900-3052,,,5/1/1900,Baltimore And Ohio Rr Royal Blue Line,,,,complete,2,34
12951,,BALTIMORE AND OHIO RR ROYAL BLUE LINE,BREAKFAST,COMMERCIAL,CAR CARROLLTON,CARD;5.75X6.5;,DAILY;,,1900-3053,,,5/1/1900,Baltimore And Ohio Rr Royal Blue Line,,,,complete,2,38
12952,,BALTIMORE AND OHIO RR ROYAL BLUE LINE,BREAKFAST,COMMERCIAL,CAR BRUNSWICK,CARD;5.75X6.5;,DAILY;,DATE HANDWRITTEN BY FB;,1900-3054,,,5/1/1900,Baltimore And Ohio Rr Royal Blue Line,,,,complete,2,51
12953,,BALTIMORE AND OHIO RR ROYAL BLUE LINE,BREAKFAST,COMMERCIAL,CAR HOLLAND,CARD;5.75X6.5;,DAILY;,DATE HANDWRITTEN BY FB;,1900-3055,,,5/1/1900,Baltimore & Ohio R.R.,,Dollars,$,complete,2,48
12954,,BALTIMORE AND OHIO RR ROYAL BLUE LINE,SUPPER,COMMERCIAL,CAR WALTON,CARD;5.75X6.5;,DAILY;,DATE HANDWRITTEN BY FB;,1900-3056,,,5/1/1900,Baltimore And Ohio Rr Royal Blue Line,,Dollars,$,complete,2,60
12955,,BALTIMORE AND OHIO RR ROYAL BLUE LINE,SUPPER,COMMERCIAL,CAR CARROLLTON,CARD;5.75X6.5;,DAILY;,,1900-3057,,,5/1/1900,Baltimore And Ohio Rr Royal Blue Line,,,,complete,2,30
12956,,BALTIMORE AND OHIO RR ROYAL BLUE LINE,LUNCHEON,COMMERCIAL,CAR WALTON,CARD;5.75X6.5;,DAILY;,DATE HANDWRITTEN BY FB,1900-3058,,,5/1/1900,Baltimore And Ohio Rr Royal Blue Line,,Dollars,$,complete,2,51
12957,,BALTIMORE AND OHIO RR ROYAL BLUE LINE,DINNER,COMMERCIAL,CAR BRUNSWICK,CARD;5.75X6.5;,DAILY;,,1900-3059,,,5/1/1900,Baltimore And Ohio Rr Royal Blue Line,,,,complete,2,27
12958,,BATTLE CREEK SANITARIUM,DINNER,COMMERCIAL,"BATTLE CREEK, MI;",FOLDER; ILLUS; 4.5X6.5;,,BLACK AND WHITE ILLUSTRATION OF SANITARIUM BUILDINGS [?];,1900-3074,,,5/2/1900,Battle Creek Sanitarium,,,,complete,4,68
12959,,MANDEL'S TEA ROOMS,SPECIAL LUNCHEON,COMMERCIAL,,BROADSIDE; 4.5X7.25;,,,1900-3075,,,5/2/1900,Mandel's Tea Rooms,,Dollars,$,complete,2,61
12960,,HOTEL MARLBOROUGH,CAFE BREAKFAST,COMMERCIAL,"[66TH ST AND BROADWAY,NEW YORK,NY]",CARD;ILL;COL;4X5.5;,DAILY;,6 COURSE BREAKFAST FOR 50 CENTS;,1900-2239,,,3/2/1900,Hotel Marlborough,,,,complete,2,19
12961,,HOTEL MARIE ANTOINETTE,LUNCH,COMMERCIAL,"66TH ST AND BROADWAY,NEW YORK,NY",CARD;ILL;COL;6.5X8.75;,DAILY;,COAT OF ARMS,1900-2240,,,3/2/1900,Hotel Marie Antoinette,,Dollars,$,complete,2,81
12962,,QUEBEC STEAMSHIP COMPANY,BREAKFAST,COMMERCIAL,SS TRINIDAD,CARD;ILL;COL;5.5X8.5;,DAILY;,FLAG;,1900-2242,,,3/2/1900,Quebec Steamship Company,,,,complete,2,30
12963,,QUEBEC STEAMSHIP COMPANY,DINNER,COMMERCIAL,SS TRINIDAD,CARD;ILL;COL;5.5X8.5;,DAILY;,FLAG;,1900-2243,,,3/2/1900,Quebec Steamship Company,,,,complete,2,36
12964,,NEW YORK CENTRAL & HUDSON RIVER R.R.,DINNER,COMMERCIAL,"DINING CAR SERVICE, TRAIN 19",FOLDER; ILLUS; COL; 5.5X7;,,GRAND CENTRAL STATION ILLUSTRATION ON COVER; PRICED WINE & COCKTAIL LIST; SKETCH OF SARATOGA DURING FLORAL FETE ON BACK;,1900-2245,,,3/2/1900,New York Central & Hudson River R.R.,,Dollars,$,complete,4,81
12965,,LEGGERA ASSOCIATION,SIXTH ANNUAL BANQUET & BALL,SOC;,"CAMPIDOGLIO HOTEL, NEW YORK, NY",BOOKLET; ILLUS; COL; 5.25X7;,ANNIVERSARY;,WINES LISTED WITH INDIVIDUAL COURSES; USA & ITALIAN FLAGS ON COVER; ADVERTISEMENTS ON BACK COVER OF IMPORTERS OF ITALIAN  WINES & LIQUORS;,1900-2246,,,3/3/1900,Leggera Association,,,,complete,4,15
12966,,OCCIDENTAL & ORIENTAL STEAMSHIP COMPANY,BREAKFAST,COMMERCIAL,S.S. COPTIC,BROADSIDE; ILLUS; COL; 5.5X8.5;,,STEAMSHIP FLAG AT TOP; HANDWRITTEN IN LAVENDAR INK;,1900-2252,,,3/3/1900,Occidental & Oriental Steamship Company,,,,complete,2,26
12967,,OCCIDENTAL & ORIENTAL STEAMSHIP COMPANY,LUNCH,COMMERCIAL,S.S. COPTIC,BROADSIDE; ILLUS; COL; 5.5X8.5;,,STEAMSHIP FLAG AT TOP; HANDWRITTEN IN LAVENDAR INK;,1900-2253,,,3/3/1900,Occidental & Oriental Steamship Company,,,,complete,2,34
12968,,OCCIDENTAL & ORIENTAL STEAMSHIP COMPANY,DINNER,COMMERCIAL,S.S. COPTIC,FOLDER; ILLUS; COL;5.5X8.5;,,MENU ITEMS HANDWRITTEN IN LAVENDAR INK ENTERED ON PRINTED FORM; ANCHOR & FLAGS ON COVER; SEABIRDS ON BACK;,1900-2254,,,3/3/1900,Occidental & Oriental Steamship Company,,,,complete,4,34
