id,name,sponsor,event,venue,place,physical_description,occasion,notes,call_number,keywords,language,date,location,location_type,currency,currency_symbol,status,page_count,dish_count
13865,,LOHG BEACH HOTEL,DINNER,COMMERCIAL,"LONG BEACH,L.I.,[NY&]",CARD;ILLUS;5X8;,DAILY;,ANIMAL FIGURE;,1900-4064,,,8/16/1900,Long Beach Hotel,,,,complete,2,52
13867,,NATIONAL ASSOCIATION OF BOX AND BOX SHOOK MAKERS,SEMI-ANNUAL MEETING AND DINNER,COMMERCIAL,"HOTEL VICTORY,PUT-IN-BAY ISLAND,LAKE ERIE,OH",FOLDER;ILLUS;5X6.75;,OTHER (MEETING);,ILLUSTRATION OF BOX;WINE ADDITIONAL CHARGE;,1900-4067,,,8/17/1900,National Association Of Box And Box Shook Makers,,Dollars,$,complete,4,37
13870,,BRITISH MUSEUM REFRESHMENT DEPARTMENT,BILL OF FARE,EDUC;,"[LONDON,ENGLAND ?]",CARD;4X6;,DAILY;,,1900-4074,,,8/18/1900,British Museum Refreshment Department,,,,complete,2,49
13873,,OCEANIC STEAMSHIP COMPANY,BREAKFAST,COMMERCIAL,"2ND CABIN, SS SIERRA",CARD; ILLUS; COL; 5.5X6.75;,,MENU HANDWRITTEN IN LAVENARD INK; STEAMSHIP COMPANY LOGO AT TOP OF MENU;,1901-1660,,,6/15/1901,Oceanic Steamship Company,,,,complete,2,13
13878,,MOUQUIN RESTAURANT AND WINE CO.,BREAKFAST,COMMERCIAL,"20 ANN STREET, 149 FULTON ST, 454 SIXTH AVENUE",FOLDER; 8 X 14;,,PRICED MENU; EXTENSIVE PRICED WINE LIST;,1901-1061,,,1/1/1901,Mouquin Restaurant And Wine Co.,,Dollars,$,under review,4,522
13882,,THE PRESIDENT & DIRECTORS OF THE CONFEDERATION LIFE ASSOCIATION,DINNER,PROF;,"TORONTO,CANADA",FOLDER; CIL; 4.25 X 7.75;,COMPL. TO STAFF,WINES NOTED FOR EACH COURSE; LIST OF TOASTS &  MUSIC PROGRAM INCLUDED;,1901-1071,,,4/29/1901,The President & Directors Of The Confederation Life Association,,,,complete,4,24
13886,,COMMERCIAL CLUB OF CHICAGO,DINHNER,PROF;,SPECIAL PULLMAN VESTIBULED TRAIN EN ROUTE TO BOSTON AND RETURN,CARD; 4.75 X 6.5;,,APPEARS TO BE A TOUR OF SORTS; WINE LIST; NO PRICES;,1900-3505,,,6/4/1900,Commercial Club Of Chicago,,,,complete,2,26
13887,,SANTA FE' ROUTE,LUNCHEON,COMMERCIAL,EN ROUTE,CARD; COL; 5 X 8;,DINING CAR SERV;,,1900-3508,,,6/1/1900,Santa Fe' Route,,Dollars,$,complete,2,40
13888,,SOUTHERN RAILWAY - DINING CAR SERVICE,DINNER,COMMERCIAL,EN ROUTE,CARD; 5.5 X 6.5;,,,1900-3509,,,6/1/1900,Southern Railway   Dining Car Service,,,,complete,2,26
13890,,RUSSELL HOUSE,DINNER,COMMERCIAL,"DETROIT,MICH.",BROADSIDE; ILLUS; COL; 5.5 X 8;,,,1900-3511,,,6/1/1900,Russell House,,,,complete,2,48
13891,,CAFE' BOULEVARD - CHATEAU HENRI IV,[DINNER],COMMERCIAL,156 2ND AVE. NY,CARD; ILLUS; COL; 3.5 X 5.5;,?,MENU HANDWRITTEN IN PURPLE INK;,1900-3530,,,6/4/1900,Cafe' Boulevard   Chateau Henri Iv,,,,complete,2,15
13892,,AMERICAN MEDICAL EDITOR'S ASSOCIATION,DINNER,PROF;,"HOTEL DENNIS, ATLANTIC CITY , NJ",CARD; RIBBON TRIM;4.5 X 6.25;,ANNUAL,,1900-3531,,,6/4/1900,American Medical Editor's Association,,,,complete,2,21
13894,,ALUMNAE OF WILSON COLLEGE,BANQUET,EDUC;,,BOOKLET;ILLUS;COL;7X9;,,DETAILED WOMAN ON COVER;TOASTS;NAMES;FASTENED AT LEFT BY RIBBON;,1900-3541,,,6/5/1900,Alumnae Of Wilson College,,,,complete,8,14
13895,,OCCIDENTAL & ORIENTAL STEAMSHIP COMPANY,LUNCH,COMMERCIAL,SS GAELIC,BROADSIDE;ILLUS; 5.5X8.5;,,HAND-WRITTEN;FLAG;,1900-3554,,,6/6/1900,Occidental & Oriental Steamship Company,,,,complete,2,24
13896,,OCCIDENTAL & ORIENTAL STEAMSHIP COMPANY,DINNER,COMMERCIAL,SS GAELIC,FOLDER;ILLUS; 5.5X8.5;,,"HAND-WRITTEN;FLAGS,ANCHORS,OTHERS;",1900-3555,,,6/6/1900,Occidental & Oriental Steamship Company,,,,complete,4,31
13898,,HOTEL VICTORY,SUNDAY DINNER (EVENING),COMMERCIAL,"PUT IN BAY ISLAND, OHIO",FOLDER; COL; 5.0X6.0;,,PEA GREEN PAPER;,1900-3853,,,7/8/1900,Hotel Victory,,,,complete,4,42
